time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
112000,68.6329732,111899,-0.3314705491065979,0.0001965450924118268,5.609345436096191,1461.4,0.0056796991266310215,0.34791749715805054,,,,,
113000,6.533355999999995,112899,-0.6561319828033447,0.0001965450924118268,4.105669021606445,766.2,0.005662792362272739,0.3572579026222229,,,,,
114000,-33.8025062,113899,-0.9265958070755005,0.0001965450924118268,4.442403316497803,651.2,0.005560182500630617,0.568088948726654,,,,,
114796,,114695,-0.9801816940307617,0.0001965450924118268,5.438424587249756,,0.005656080786138773,0.6432054042816162,937.55,54,172,-76.52367359,2095
115000,-13.526610799999997,114899,2.078636646270752,0.0001965450924118268,5.8600945472717285,1490.4,0.005599811673164368,0.6764758825302124,,,,,
116000,-27.0383862,115899,-0.8363922238349915,0.0001965450924118268,3.98956561088562,1248.2,0.005434686318039894,0.26807695627212524,,,,,
117000,-31.943723800000004,116899,0.1064368486404419,0.0001965450924118268,4.670435905456543,1281.0,0.005463809240609407,0.543942391872406,,,,,
118000,143.698979,117899,0.9627889394760132,0.0001965450924118268,4.5424580574035645,1600.0,0.005702233873307705,0.46166032552719116,,,,,
119000,58.71401920000001,118899,-1.0012366771697998,0.0001965450924118268,2.7604892253875732,1234.8,0.005895840469747782,0.5458370447158813,,,,,
119770,,119669,-0.9567130208015442,0.0001965450924118268,3.535947799682617,,0.005984167568385601,0.40526333451271057,958.9,54,176,-68.88723517000001,2186
120000,77.5608416,119899,0.1626676321029663,0.0001965450924118268,2.0514440536499023,1187.6,0.006046417634934187,0.3495495319366455,,,,,
121000,-66.1846622,120899,-1.8668757677078247,0.0001965450924118268,2.2566003799438477,472.6,0.0061052883975207806,0.3351411521434784,,,,,
122000,-39.029254,121899,1.0803300142288208,0.0001965450924118268,2.3667049407958984,1600.0,0.00636846711859107,0.37139928340911865,,,,,
123000,41.1162086,122899,-1.028329849243164,0.0001965450924118268,2.536203622817993,1600.0,0.006517905276268721,0.5255658626556396,,,,,
124000,7.375037600000001,123899,-0.2987510561943054,0.0001965450924118268,2.270537853240967,1600.0,0.006751734763383865,0.6158369779586792,,,,,
125000,239.2351306,124899,1.5838130712509155,0.0001965450924118268,1.2534685134887695,1600.0,0.006635019555687904,0.6539435982704163,,,,,
126000,224.60923940000004,125899,-0.27237585186958313,0.0001965450924118268,0.49556446075439453,1600.0,0.006849379278719425,0.5066289305686951,,,,,
